z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
32,229.75454711914062,2.6292516982270765e+17,55214285662768608,2.0508163246171197e+17,106484693778196.59,8.1626016131632065e-06,2146153415336.0435,0.012635475024580956,2.0537206934343878e+17,55095164343805656,nan,1378194394707.9187,nan,2456557941068484.5,nan,0
33,232.11968994140625,2.2480922548894934e+17,47209937352679360,1.7535119588138048e+17,91047736323024.484,8.1429868108867088e-06,1830618558122.1707,0.010803724639117718,1.7559952881162982e+17,47108084447859616,nan,1178399250606.719,nan,2100433830209325.5,nan,0
34,234.9169921875,1.9220354327723066e+17,40362744088218440,1.499187637562399e+17,77842435027278.406,8.1234191431497331e-06,1561349942839.4636,0.0092367837205529213,1.5013107844369888e+17,40275664445976576,nan,1007487589772.4272,nan,1795792899965429.2,nan,0
35,238.12898254394531,1.6437359448241142e+17,34518454841306396,1.2821140369628091e+17,66571305765376.625,8.1038984966875757e-06,1332066925221.1472,0.0078993514180183411,1.2839297766151739e+17,34443982561892104,nan,861609334801.4325,nan,1535772649667101.2,nan,0
36,241.67977905273438,1.4069138543619525e+17,29545190941601000,1.097392806402323e+17,56980011101659.07,7.8889086540951932e-06,1109901488124.2432,0.0067612477578222752,1.0989469439367221e+17,29481448118094044,nan,737472479160.69678,nan,1314505451949831.2,nan,0
37,245.48530578613281,1.2058409403673605e+17,25322659747714568,94055593348654128,48836558084878.094,7.6327636224325572e-06,920389886407.58557,0.0057949470356106758,94188796017184064,25268026673714096,nan,632074600192.14746,nan,1126639271237698.8,nan,0
38,249.450927734375,1.0353885238480008e+17,21743159000808016,80760304860144064,41933235215844.031,7.3849353656398229e-06,764627732694.27124,0.0049757980741560459,80874678337999104,21696248830844320,nan,542727323246.39539,nan,967382488633414,nan,0
39,253.46873474121094,89104172532554000,18711876231836340,69501254575392120,36087189875684.367,7.1451538462941155e-06,636663021091.83264,0.0042821061797440052,69599682483696448,18671506346212636,nan,467063983904.39117,nan,832516638661014.38,nan,0
40,257.41677856445312,76886199821002304,16146101962410484,59971235860381800,31138910927505.93,6.9131577948195613e-06,531526431606.61646,0.003694942919537425,60056167563730416,16111267378947760,nan,403020111646.03186,nan,718361858212473.25,nan,0
41,261.157958984375,66544962276534488,13974442078072242,51905070575696904,26950709721996.465,6.5185770830944845e-06,433778466091.20471,0.003197971498593688,51978578826073104,13944292864244034,nan,348813673000.59955,nan,621741772544355,nan,0
42,264.54159545898438,57788778799694640,12135643547935874,45075247463761824,23404455413876.328,5.9901899069992035e-06,346165759503.74036,0.002777172951027751,45139083669175472,12109461073858698,nan,302915728330.19495,nan,539931140932147.06,nan,0
43,267.40573120117188,50368578900078520,10577401569016488,39287491542061248,20399274454531.801,5.5046330916257452e-06,277260546191.53448,0.0024205781519412994,39343131092734736,10554580917610058,nan,264020727835.91833,nan,470602869005894,nan,0
44,269.58193969726562,44072646756819872,9255255818932172,34376664470319500,17849421936512.047,5.0584348649808565e-06,222938612946.68311,0.0021180124022066593,34425348918433856,9235287998518844,nan,231018869148.35251,nan,411778820998017.56,nan,0
45,270.90255737304688,38721167155052720,8131445102561071,30202510380941124,15682072697796.352,4.6484048722849268e-06,179991662064.10614,0.0018608347745612264,30245283384694032,8113901824402752,nan,202967630284.32486,nan,361778978325648.12,nan,0
46,271.2510986328125,34156685369210532,7172903927534211,26642214587984216,13833457574530.266,4.2716113646674332e-06,145904085402.48956,0.0016414782730862498,26679945689291396,7157428461441713,nan,179041638788.62848,nan,319132176838635.25,nan,0
47,270.69668579101562,30230404220948084,6348384886399097,23579715292339508,12243313709483.973,3.9050530224873821e-06,118051331374.02863,0.0014527916209772229,23613109184842584,6334688363515534,nan,158460962960.04813,nan,282448211627005.19,nan,0
48,269.36737060546875,26821826508626792,5632583566811626,20921024676728900,10862839735993.85,3.5653239036972254e-06,95628499192.026993,0.0012889845529571176,20950653142735184,5620431536363409,nan,140593967728.16486,nan,250601235560473.28,nan,0
49,267.40090942382812,23837419683084560,5005858133447757,18593187352805956,9654154971649.2461,3.2551503052775509e-06,77594383958.421799,0.001145562157034874,18619519043914084,4995058314407022,nan,124950373986.20569,nan,222717374389469.31,nan,0
50,264.9381103515625,21204504413317356,4452945926796644.5,16539513442387538,8587824287393.5283,2.9719609763815629e-06,63018959639.889809,0.0010190311586484313,16562936763276466,4443338931081488,nan,111149226724.95001,nan,198117569732678.78,nan,0
